Nr;Event;GPrecision;GRecall;Redundancy;Compactness;Overlap;GT cross entropy;FC cross entropy;Homogeneity;Completeness;V-Measure;VarInformation;Precision;Recall;F1;
45;;0.9581699346405229;0.8019693654266958;0.0;0.933386729444444;0.0;0.8497966368815021;0.7563264365926008;0.6982889533071015;0.8333127797067728;0.75984911243712;0.769493834926873;0.9400785854616895;1.0;0.9681295715778475;
46;;0.9678571428571429;0.9013303769401331;0.0;0.882742615863957;0.0;0.7839742308360074;0.6240603792804537;0.5057588824850905;0.7653306846842549;0.6090409390731609;0.647889915855473;0.8561151079136691;0.9703087885985748;0.9053224155578301;
47;;0.9537914691943128;0.9189497716894978;0.0;0.9048647800315953;0.0;0.8222665401077798;0.6413023324600102;0.5187793150574614;0.8081368587699757;0.6319083214670325;0.679119359351857;0.8735144312393888;1.0;0.9275996112730807;
48;;0.9603841536614646;0.8948545861297539;0.0;0.8698678128893228;0.0;0.8174684826332397;0.6408103772168677;0.5128183306831222;0.8002803642462837;0.6250839210426964;0.6719266187817262;0.8801020408163265;1.0;0.9318840579710146;
49;;0.9669703872437357;0.9268558951965066;0.0;0.8435333870649435;0.0;0.8188472059094503;0.6287828319579984;0.4759564345663455;0.7983685455269285;0.5963763597745729;0.6562310819614603;0.8457869634340223;0.9833333333333334;0.9031510658016682;
50;;0.9608938547486033;0.9598214285714286;0.0;0.9493926960394822;0.0;0.8460585733547892;0.61195118479181;0.43279517418965807;0.832353412981963;0.5694802081141125;0.6617617634128645;0.8325581395348838;0.993103448275862;0.8972222222222221;
51;;0.9672897196261683;0.9108910891089109;0.0;0.8373638246111702;0.0;0.7807237609679133;0.6175678753211662;0.47838644726506085;0.7553614074594178;0.5857836489553124;0.6307401847650014;0.8627946127946128;0.9644396551724138;0.9073724007561437;
52;;0.9705561613958561;0.9845132743362832;0.0;0.9253228308593937;0.0;0.9014091590898555;0.6411018988443177;0.44452048790339205;0.8912295838419528;0.593179544322555;0.7053244159548504;0.8293591654247392;0.9900221729490022;0.893939393939394;
53;;0.9663774403470716;0.9911012235817576;0.0;0.9594011608239762;0.0;0.9041663703853606;0.6295545698934994;0.42187049927914133;0.8953069612932643;0.5735044913458232;0.7003622878492521;0.8333333333333333;0.9931506849315068;0.8977900552486189;
54;;0.9647058823529412;0.9879518072289156;0.0;0.8689906633083025;0.0;0.9180664962681044;0.6847681048966606;0.4955082983137955;0.9045229750025637;0.6402694692205988;0.7321877555052027;0.877536231884058;1.0;0.9302229562345169;
55;;0.9847328244274809;1.0;0.0;0.8865721319892524;0.0;0.9552517442080374;0.9343537634692132;0.911197307427934;0.941131171954466;0.925922372156509;0.9263728461370394;1.0;1.0;1.0;
56;;0.9770240700218819;1.0;0.0;0.8399478531820233;1.0;0.9439326412631315;0.9242291681614372;0.8985389650362174;0.9268528393033647;0.912476312196255;0.9128802285872156;1.0;1.0;1.0;
57;;0.946969696969697;0.8342602892102335;0.0;0.9451755799393466;0.0;0.7718610949757092;0.5885189430237507;0.30288853257425563;0.7050975175660478;0.423747833390361;0.531027001234553;0.8773333333333333;1.0;0.9346590909090909;
58;;0.9313593539703903;0.7801578354002254;0.0;0.9001958226388697;0.0;0.8631919205244972;0.7735165692879509;0.6636174172679934;0.8206892813850113;0.7338425431704754;0.7470568823772096;0.9783236994219653;1.0;0.9890430971512052;
59;;0.9476885644768857;0.8723404255319149;0.0;0.9352963668619765;0.0;0.8024108266781688;0.6357133705597406;0.3629994231163489;0.7324726052005697;0.48542934235362367;0.5712356040419638;0.8934531450577664;1.0;0.9437288135593221;
60;;0.9483516483516483;0.9599555061179088;0.0030;0.9089538107698809;1.0;0.7636895804105793;0.5257356822301757;0.06216961421961775;0.6822322358943707;0.1139548884980485;0.43124962165544106;0.9126794258373205;0.5717703349282297;0.5776855289350011;
61;;0.9484083424807903;0.968609865470852;0.0;0.9355111337464075;0.0;0.8408719854445501;0.48209533197048315;-1.0;0.7985102314389909;-1.0;0.4453906424044094;0.7476851851851852;1.0;0.8556291390728478;
62;;0.9528907922912205;1.0;0.0;0.8756684271596815;0.0;0.9184338875265704;0.5148038961546434;-1.0;0.8944074256288074;-1.0;0.5034027019041967;0.748314606741573;1.0;0.8560411311053984;
63;;0.9564293304994687;1.0;0.0;0.8796339210273856;0.0;0.9341103936388951;0.4408262738423385;-1.0;0.9222976512729204;-1.0;0.48026803173267135;0.5977777777777777;1.0;0.7482614742698191;
64;;0.9878318584070797;1.0;0.0;0.8457662133570089;0.0;0.9488731803293186;0.9142590798349326;0.8120483730606418;0.8958296688723585;0.851884042403761;0.8554702016052933;1.0;1.0;1.0;
65;;0.9847328244274809;1.0;0.0;0.9810213155724304;0.0;0.9422396960184498;0.8954893192373565;0.746740638479326;0.8742736930175976;0.8054903439709387;0.8139255722179081;1.0;1.0;1.0;
66;;0.9849137931034483;1.0;0.0;0.8627225715153768;0.0;0.9448788001082725;0.8952466299534952;0.7194181223236633;0.8696822841180865;0.78744576909316;0.7992329611383157;1.0;1.0;1.0;
67;;0.9870967741935484;1.0;0.0;0.9174068977167963;0.0;0.9507500968161187;0.9074863426868134;0.7471777047326944;0.8796397382262358;0.8080159251355403;0.8171054851913814;1.0;1.0;1.0;
68;;0.9845814977973568;1.0;0.0;0.8632458563026577;0.0;0.9403111006823526;0.8956900753865418;0.7645961652851045;0.8776193682509577;0.8172184342937624;0.8238167176052164;1.0;1.0;1.0;
69;;0.9813186813186813;1.0;0.0;0.9366210784334666;0.0;0.9324166794260038;0.8780862934261944;0.7206823890049183;0.8622997298043181;0.7851563475412335;0.7956398642957956;1.0;1.0;1.0;
70;;0.9881209503239741;1.0;0.0;0.9076054795582081;0.0;0.9527550672898479;0.9138751837578667;0.7737585830928883;0.887393156502837;0.8266891639761526;0.8333363772862433;1.0;1.0;1.0;
71;;0.9923747276688453;1.0;0.0;0.9044920845638368;0.0;0.9646304734770768;0.9406947683041956;0.8550658427731307;0.9183383991992617;0.8855733833013677;0.8876011203627702;1.0;1.0;1.0;
